"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2409.058207,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.705491,
"AUS","GDP","TOT","USD_CAP","A","1962",2573.580478,
"AUS","GDP","TOT","USD_CAP","A","1963",2748.475664,
"AUS","GDP","TOT","USD_CAP","A","1964",2898.335391,
"AUS","GDP","TOT","USD_CAP","A","1965",2997.714205,
"AUS","GDP","TOT","USD_CAP","A","1966",3270.894847,
"AUS","GDP","TOT","USD_CAP","A","1967",3442.171342,
"AUS","GDP","TOT","USD_CAP","A","1968",3827.600452,
"AUS","GDP","TOT","USD_CAP","A","1969",4201.74299,
"AUS","GDP","TOT","USD_CAP","A","1970",4638.888936,
"AUS","GDP","TOT","USD_CAP","A","1971",4849.919426,
"AUS","GDP","TOT","USD_CAP","A","1972",5195.435143,
"AUS","GDP","TOT","USD_CAP","A","1973",5779.516501,
"AUS","GDP","TOT","USD_CAP","A","1974",6228.471482,
"AUS","GDP","TOT","USD_CAP","A","1975",6919.657558,
"AUS","GDP","TOT","USD_CAP","A","1976",7376.230734,
"AUS","GDP","TOT","USD_CAP","A","1977",7706.213573,
"AUS","GDP","TOT","USD_CAP","A","1978",8529.813526,
"AUS","GDP","TOT","USD_CAP","A","1979",9429.932785,
"AUS","GDP","TOT","USD_CAP","A","1980",10448.465179,
"AUS","GDP","TOT","USD_CAP","A","1981",11922.779261,
"AUS","GDP","TOT","USD_CAP","A","1982",11957.271142,
"AUS","GDP","TOT","USD_CAP","A","1983",12739.970249,
"AUS","GDP","TOT","USD_CAP","A","1984",13563.243432,
"AUS","GDP","TOT","USD_CAP","A","1985",14468.525866,
"AUS","GDP","TOT","USD_CAP","A","1986",14952.078564,
"AUS","GDP","TOT","USD_CAP","A","1987",16010.943344,
"AUS","GDP","TOT","USD_CAP","A","1988",17079.293355,
"AUS","GDP","TOT","USD_CAP","A","1989",17782.187552,
"AUS","GDP","TOT","USD_CAP","A","1990",17786.978311,
"AUS","GDP","TOT","USD_CAP","A","1991",18126.137999,
"AUS","GDP","TOT","USD_CAP","A","1992",19094.496782,
"AUS","GDP","TOT","USD_CAP","A","1993",20118.480443,
"AUS","GDP","TOT","USD_CAP","A","1994",21349.565284,
"AUS","GDP","TOT","USD_CAP","A","1995",22353.994564,
"AUS","GDP","TOT","USD_CAP","A","1996",23220.090889,
"AUS","GDP","TOT","USD_CAP","A","1997",24403.021722,
"AUS","GDP","TOT","USD_CAP","A","1998",25630.468739,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28252.629885,
"AUS","GDP","TOT","USD_CAP","A","2001",29493.214856,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32248.255835,
"AUS","GDP","TOT","USD_CAP","A","2004",33865.906508,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37842.933976,
"AUS","GDP","TOT","USD_CAP","A","2007",39596.040082,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41614.090724,
"AUS","GDP","TOT","USD_CAP","A","2010",42787.065957,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47644.762792,
"AUS","GDP","TOT","USD_CAP","A","2015",47317.250695,
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",51011.462916,
"AUS","GDP","TOT","USD_CAP","A","2018",54262.882851,
"AUS","GDP","TOT","USD_CAP","A","2019",54262.617559,"E"
"AUT","GDP","TOT","USD_CAP","A","1970",3820.28559,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4200.05549,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4627.093401,"E"
